User_Email,Skill_Name
Kareem13@yahoo.com,md
Kareem13@yahoo.com,co
Kareem13@yahoo.com,ai
Nadine3@gmail.com,linq
Nadine3@gmail.com,owasp
Nadine3@gmail.com,operations management
Nadine3@gmail.com,security engineering
Najibah12@live.com,bscs
Najibah12@live.com,unity framework
Najibah12@live.com,arduino
Najibah12@live.com,german teaching
Mohamed8@gmail.com,soft skills
Mohamed8@gmail.com,operations
Mohamed8@gmail.com,network administrator
Mohamed8@gmail.com,logistics operations
Nour13@hotmail.com,information technology
Nour13@hotmail.com,banking operations
Nour13@hotmail.com,linux system administration
Nour13@hotmail.com,docker
Noha3@live.com,vulnerability scanning
Noha3@live.com,e-marketing
Noha3@live.com,user interface (ui)
Noha3@live.com,t-sql
Najat9@live.com,spring framework
Najat9@live.com,mcp
Najat9@live.com,wicket
Najat9@live.com,system administrator
Najat14@outlook.com,system configuration
Najat14@outlook.com,vulnerability scanning
Najat14@outlook.com,sap s/4 hana
Najat14@outlook.com,adobe xd
Nahed14@yahoo.com,kony
Nahed14@yahoo.com,solutions
Nahed14@yahoo.com,pac
Nahed14@yahoo.com,data management sloutions
Naglaa4@outlook.com,school management system
Naglaa4@outlook.com,document control
Naglaa4@outlook.com,english training
Naglaa4@outlook.com,ec2
Nahla6@live.com,information analysis
Nahla6@live.com,app development
Nahla6@live.com,atlassian jira
Nahla6@live.com,identity
Noha7@yahoo.com,pocs
Noha7@yahoo.com,erp
Noha7@yahoo.com,erp administration
Noha7@yahoo.com,odoo training
Amr14@yahoo.com,navisworks
Amr14@yahoo.com,agile methodology
Amr14@yahoo.com,selling skills
Amr14@yahoo.com,po
Amr13@gmail.com,widget development
Amr13@gmail.com,dbase
Amr13@gmail.com,redhat
Amr13@gmail.com,storyboards
Khaled1@gmail.com,consulting
Khaled1@gmail.com,sw development
Khaled1@gmail.com,economics
Khaled1@gmail.com,search engines
Najat2@gmail.com,system integration
Najat2@gmail.com,ui design
Najat2@gmail.com,data science
Najat2@gmail.com,application development
Hassan7@gmail.com,planning
Hassan7@gmail.com,dbase
Hassan7@gmail.com,rfc
Hassan7@gmail.com,production process
Hassan8@yahoo.com,delivery
Hassan8@yahoo.com,microsoft sql
Hassan8@yahoo.com,localization
Hassan8@yahoo.com,technical office
Najila5@outlook.com,user experience (ux)
Najila5@outlook.com,hybris
Najila5@outlook.com,dataplaform
Najila5@outlook.com,bilingual
Hesham12@hotmail.com,front-end development
Hesham12@hotmail.com,sap fico
Hesham12@hotmail.com,shell scripting
Hesham12@hotmail.com,react js
Nada1@yahoo.com,nestjs.
Nada1@yahoo.com,financial accounting
Nada1@yahoo.com,amazon s3
Nada1@yahoo.com,microsoft operating system
Hany4@yahoo.com,e2e solution architect
Hany4@yahoo.com,digital
Hany4@yahoo.com,cisco ccna
Hany4@yahoo.com,alm
Najwa14@outlook.com,spanish
Najwa14@outlook.com,tours
Najwa14@outlook.com,hw
Najwa14@outlook.com,pc troubleshooting
Tarek15@outlook.com,school
Tarek15@outlook.com,operating system
Tarek15@outlook.com,apache hbase
Tarek15@outlook.com,cisco routing
Ali14@hotmail.com,database design
Ali14@hotmail.com,commercial sales
Ali14@hotmail.com,microsoft sql server
Ali14@hotmail.com,e-marketing
Mina9@outlook.com,animation
Mina9@outlook.com,data analyst
Mina9@outlook.com,configuration
Mina9@outlook.com,knockout
Najeeba14@outlook.com,ax
Najeeba14@outlook.com,umbraco
Najeeba14@outlook.com,android developer
Najeeba14@outlook.com,key account
Najila6@outlook.com,firebase
Najila6@outlook.com,asgi frameworks.
Najila6@outlook.com,odoo maintenance
Najila6@outlook.com,erps
Nahla14@live.com,to
Nahla14@live.com,selenium webdriver
Nahla14@live.com,applied arts
Nahla14@live.com,functional consultant
Mahmoud13@yahoo.com,mobile app
Mahmoud13@yahoo.com,learning management system
Mahmoud13@yahoo.com,document coding
Mahmoud13@yahoo.com,civil engineering
Tarek13@yahoo.com,dart programming
Tarek13@yahoo.com,video editing
Tarek13@yahoo.com,java spring
Tarek13@yahoo.com,sap plant maintenance
Nagwa13@live.com,kotlin
Nagwa13@live.com,tfs
Nagwa13@live.com,rac
Nagwa13@live.com,nestjs.
Nermeen3@yahoo.com,mail flow
Nermeen3@yahoo.com,asp.net
Nermeen3@yahoo.com,oracle database 10g
Nermeen3@yahoo.com,applied mathematics
Tarek10@yahoo.com,mobile development
Tarek10@yahoo.com,mobile
Tarek10@yahoo.com,ffi / nfi implementation
Tarek10@yahoo.com,selenium
Hussein10@live.com,microsoft .net framework
Hussein10@live.com,business administration
Hussein10@live.com,electric power measurement
Hussein10@live.com,wireframes
Nahla9@live.com,it
Nahla9@live.com,oracle cloud infrastructure
Nahla9@live.com,designer
Nahla9@live.com,deep learning
Tarek9@yahoo.com,consolidation
Tarek9@yahoo.com,sap hybris
Tarek9@yahoo.com,software development life cycle
Tarek9@yahoo.com,soa
Hany11@live.com,cccm
Hany11@live.com,wso2
Hany11@live.com,agile methodologies
Hany11@live.com,safety
Nahla11@hotmail.com,mangodb
Nahla11@hotmail.com,appsupport
Nahla11@hotmail.com,cloud firestore
Nahla11@hotmail.com,admin assistant
Ahmed3@live.com,budgeting procedures
Ahmed3@live.com,content writing
Ahmed3@live.com,html5
Ahmed3@live.com,iis
Mina4@live.com,dom
Mina4@live.com,services
Mina4@live.com,jsf
Mina4@live.com,german
Najma2@live.com,software deployment
Najma2@live.com,leadership management
Najma2@live.com,storyboards
Najma2@live.com,asp.net web api
Nada14@outlook.com,hr policies
Nada14@outlook.com,soap
Nada14@outlook.com,management
Nada14@outlook.com,digitalocean
Ali5@gmail.com,textures
Ali5@gmail.com,fortinet
Ali5@gmail.com,flutter developer
Ali5@gmail.com,mobile development life cycle
Nadine1@gmail.com,weblogic
Nadine1@gmail.com,experience
Nadine1@gmail.com,fortinet
Nadine1@gmail.com,penetration testing
Nermeen11@live.com,negotiation
Nermeen11@live.com,sentry
Nermeen11@live.com,expert
Nermeen11@live.com,cissp
Naglaa12@gmail.com,british school
Naglaa12@gmail.com,uml modeling
Naglaa12@gmail.com,hse
Naglaa12@gmail.com,scrumapis
Mahmoud9@yahoo.com,android
Mahmoud9@yahoo.com,indesign
Mahmoud9@yahoo.com,java developer
Mahmoud9@yahoo.com,creative
Hesham2@yahoo.com,android development
Hesham2@yahoo.com,telecom
Hesham2@yahoo.com,a/b testing
Hesham2@yahoo.com,rspec
Najwa6@hotmail.com,angular2+
Najwa6@hotmail.com,javascript
Najwa6@hotmail.com,security testing
Najwa6@hotmail.com,jasper reports
Kareem5@yahoo.com,software products
Kareem5@yahoo.com,applicant tracking systems
Kareem5@yahoo.com,plugins
Kareem5@yahoo.com,apis
Nada8@live.com,interaction design
Nada8@live.com,police
Nada8@live.com,translation
Nada8@live.com,power bi
Mohamed7@outlook.com,delivery
Mohamed7@outlook.com,"app deployment (google play store, apple app store)"
Mohamed7@outlook.com,flexbox
Mohamed7@outlook.com,application support
Nahla1@live.com,treasury
Nahla1@live.com,mobile applications testing
Nahla1@live.com,telemarketing
Nahla1@live.com,ddd
Hany12@outlook.com,biztalk
Hany12@outlook.com,computer hardware
Hany12@outlook.com,qtest
Hany12@outlook.com,jquery
Nesma15@gmail.com,backlog management
Nesma15@gmail.com,node.js
Nesma15@gmail.com,scm
Nesma15@gmail.com,apis
Najat6@live.com,laravel framework
Najat6@live.com,purchasing
Najat6@live.com,presentation
Najat6@live.com,sdd
Najat4@outlook.com,test
Najat4@outlook.com,css3
Najat4@outlook.com,drawio
Najat4@outlook.com,erp sales
Hesham1@gmail.com,webpack
Hesham1@gmail.com,sap business one
Hesham1@gmail.com,security
Hesham1@gmail.com,iso 9001
Nahla12@hotmail.com,payments
Nahla12@hotmail.com,sap basis
Nahla12@hotmail.com,mes
Nahla12@hotmail.com,ai
Yahia4@hotmail.com,microsoft iis
Yahia4@hotmail.com,esxi
Yahia4@hotmail.com,apis
Yahia4@hotmail.com,java ee
Najat7@live.com,rest api
Najat7@live.com,vmware
Najat7@live.com,gdpr
Najat7@live.com,core
Nagwa9@hotmail.com,functional consultant
Nagwa9@hotmail.com,gap analysis
Nagwa9@hotmail.com,logistics
Nagwa9@hotmail.com,postgresql
Nour14@hotmail.com,4. digital delivery
Nour14@hotmail.com,network security
Nour14@hotmail.com,typography
Nour14@hotmail.com,vfx
Mohamed1@live.com,e-commerce
Mohamed1@live.com,itsales
Mohamed1@live.com,drawing
Mohamed1@live.com,dataplaform
Yahia6@hotmail.com,it consulting
Yahia6@hotmail.com,data quality management
Yahia6@hotmail.com,google
Yahia6@hotmail.com,sophos utm
Najiyah10@hotmail.com,iso 9000
Najiyah10@hotmail.com,demand planning
Najiyah10@hotmail.com,4. digital delivery
Najiyah10@hotmail.com,document coding
Nahed2@gmail.com,business writing
Nahed2@gmail.com,service-oriented architecture (soa)
Nahed2@gmail.com,oracle e-business suite r12
Nahed2@gmail.com,apache2
Najma1@gmail.com,nodejs
Najma1@gmail.com,cloud platform
Najma1@gmail.com,ccnp
Najma1@gmail.com,microsoft dynamics 365
